"STATION","STATION_NAME","DATE","TPCP","MNTM"
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",19721101,1.1,33.4
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",19860601,11.18,45.9
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",19860701,5.48,51.4
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",19860801,17.28,48.6
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",19860901,6.95,45.3
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",19870701,2.95,52.5
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",19880501,8.48,-9999
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",19900701,15.66,-9999
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",19900801,4.49,-9999
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",19920501,5.91,42.1
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",19920601,6.62,47.3
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",19920701,9.39,50.5
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",19920801,24.94,49.8
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",19920901,7.61,39.9
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",19921001,6.8,34.2
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",19921101,0.11,28.9
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",19921201,-9999,20.5
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",19930101,-9999,11.1
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",19930201,-9999,8.4
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",19930301,-9999,34.7
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",19930401,-9999,37.9
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",19930501,3.69,46
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",19930601,4.84,49.3
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20040501,4,48.9
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20040601,7.7,53.1
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20040701,11.19,56.7
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20040801,2.86,55.6
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20040901,10.4,44.1
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20041001,17.7,40.3
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20041101,18.92,32.2
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20041201,16.34,28.8
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20050101,10.98,24.1
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20050201,10.32,26.6
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20050301,14.98,33.3
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20050401,10.94,38.5
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20050501,17.59,46.6
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20050601,5.21,53.4
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20050701,10.72,55.8
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20050801,5.89,53.2
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20050901,23.44,48.7
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20051001,16.44,37.4
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20051101,5.89,21
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20051201,25.8,33.6
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20060101,5.52,18.3
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20060201,11.14,22.5
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20060301,4.87,23
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20060401,8.85,35.2
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20060501,10.86,43.9
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20060601,2.55,50.4
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20060701,10.01,54.1
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20060801,20.08,52.7
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20060901,21.69,48
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20061001,15.76,39.9
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20061101,1.19,7.9
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20061201,35.21,27
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20070101,8.09,23.2
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20070201,0.86,24.8
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20070301,0.39,13.1
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20070401,18.68,38.1
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20070501,15.07,44.2
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20070601,13.16,51.8
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20070701,5.72,53.8
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20070801,7.74,53.4
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20070901,13.86,50.4
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20071001,15.26,37.6
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20071101,41.15,35.2
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20071201,11.43,27
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20080101,5.08,18.5
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20080201,20.52,18.1
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20080301,13.48,28.8
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20080401,6.19,31.8
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20080501,17.69,43.3
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20080601,9.95,48
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20080701,8.36,51.3
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20080801,7.46,50.9
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20080901,30.84,46
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20081001,9.58,31.1
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20081101,15.42,26.6
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20081201,4.93,18.9
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20090101,18.11,17.2
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20090201,1.65,19.8
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20090301,6.82,22.6
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20090401,3.88,34.2
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20090501,3.06,43.9
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20090601,9.76,50.5
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20090701,16.85,54.7
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20090801,4.42,51.3
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20090901,18,46
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20091001,15.4,38.8
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20091101,17.15,22.3
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20091201,13.04,25.5
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20100101,3.33,25
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20100201,17.3,31.1
"GHCND:USC00507502","PORTAGE GLACIER VISITOR CENTER AK US",20100301,13.43,29.5
