"STATION","STATION_NAME","DATE","TPCP","MNTM"
"GHCND:USC00235671","MOBERLY MO US",19360701,0.35,83.5
"GHCND:USC00235671","MOBERLY MO US",19360801,0.76,83.5
"GHCND:USC00235671","MOBERLY MO US",19360901,8.21,71.6
"GHCND:USC00235671","MOBERLY MO US",19361001,2.25,55
"GHCND:USC00235671","MOBERLY MO US",19361101,1.57,39.9
"GHCND:USC00235671","MOBERLY MO US",19361201,3.04,35.6
"GHCND:USC00235671","MOBERLY MO US",19370101,4.45,23.7
"GHCND:USC00235671","MOBERLY MO US",19370201,1.5,29.5
"GHCND:USC00235671","MOBERLY MO US",19370301,1.37,38.1
"GHCND:USC00235671","MOBERLY MO US",19370401,2.98,49.1
"GHCND:USC00235671","MOBERLY MO US",19370501,3.69,66
"GHCND:USC00235671","MOBERLY MO US",19370601,3.82,72.5
"GHCND:USC00235671","MOBERLY MO US",19370701,3.01,76.8
"GHCND:USC00235671","MOBERLY MO US",19370801,2.43,78.3
"GHCND:USC00235671","MOBERLY MO US",19370901,1.42,66.2
"GHCND:USC00235671","MOBERLY MO US",19371001,1.41,53.8
"GHCND:USC00235671","MOBERLY MO US",19371101,1.85,36.5
"GHCND:USC00235671","MOBERLY MO US",19371201,0.95,28.9
"GHCND:USC00235671","MOBERLY MO US",19380101,2.88,29.8
"GHCND:USC00235671","MOBERLY MO US",19380201,1.44,37.6
"GHCND:USC00235671","MOBERLY MO US",19380301,4.39,52.5
"GHCND:USC00235671","MOBERLY MO US",19380401,3.63,53.2
"GHCND:USC00235671","MOBERLY MO US",19380501,6.03,63.3
"GHCND:USC00235671","MOBERLY MO US",19380601,5.15,70.7
"GHCND:USC00235671","MOBERLY MO US",19380701,4.04,79.3
"GHCND:USC00235671","MOBERLY MO US",19380801,4.54,79.5
"GHCND:USC00235671","MOBERLY MO US",19380901,0.87,69.8
"GHCND:USC00235671","MOBERLY MO US",19381001,1.28,63
"GHCND:USC00235671","MOBERLY MO US",19381101,4.13,45.1
"GHCND:USC00235671","MOBERLY MO US",19381201,1.74,33.8
"GHCND:USC00235671","MOBERLY MO US",19390101,1.61,36.7
"GHCND:USC00235671","MOBERLY MO US",19390201,1.11,30
"GHCND:USC00235671","MOBERLY MO US",19390301,4.26,44.4
"GHCND:USC00235671","MOBERLY MO US",19390401,3.47,52
"GHCND:USC00235671","MOBERLY MO US",19390501,3.61,67.3
"GHCND:USC00235671","MOBERLY MO US",19390601,7.09,73.8
"GHCND:USC00235671","MOBERLY MO US",19390701,3.54,79.2
"GHCND:USC00235671","MOBERLY MO US",19390801,5.47,73
"GHCND:USC00235671","MOBERLY MO US",19390901,0.25,73.8
"GHCND:USC00235671","MOBERLY MO US",19391001,1.67,59.9
"GHCND:USC00235671","MOBERLY MO US",19391101,2.74,41.7
"GHCND:USC00235671","MOBERLY MO US",19391201,0.78,36.9
"GHCND:USC00235671","MOBERLY MO US",19400101,0.86,11.7
"GHCND:USC00235671","MOBERLY MO US",19400201,1.22,31.6
"GHCND:USC00235671","MOBERLY MO US",19400301,1.98,40.3
"GHCND:USC00235671","MOBERLY MO US",19400401,2.76,52.9
"GHCND:USC00235671","MOBERLY MO US",19400501,1.05,62.2
"GHCND:USC00235671","MOBERLY MO US",19400601,2.78,73.2
"GHCND:USC00235671","MOBERLY MO US",19400701,0.38,77.4
"GHCND:USC00235671","MOBERLY MO US",19400801,5.73,75.2
"GHCND:USC00235671","MOBERLY MO US",19400901,0,69.1
"GHCND:USC00235671","MOBERLY MO US",19401001,2.93,62.8
"GHCND:USC00235671","MOBERLY MO US",19401101,3.33,40.5
"GHCND:USC00235671","MOBERLY MO US",19401201,2.12,38.1
"GHCND:USC00235671","MOBERLY MO US",19410101,4.49,32.2
"GHCND:USC00235671","MOBERLY MO US",19410201,0.77,31.6
"GHCND:USC00235671","MOBERLY MO US",19410301,0.33,40.5
"GHCND:USC00235671","MOBERLY MO US",19410401,2.49,57.9
"GHCND:USC00235671","MOBERLY MO US",19410501,2.82,70.5
"GHCND:USC00235671","MOBERLY MO US",19410601,3.66,73.8
"GHCND:USC00235671","MOBERLY MO US",19410701,3.32,78.1
"GHCND:USC00235671","MOBERLY MO US",19410801,3.32,79.5
"GHCND:USC00235671","MOBERLY MO US",19410901,4.78,71.1
"GHCND:USC00235671","MOBERLY MO US",19411001,12.7,61
"GHCND:USC00235671","MOBERLY MO US",19411101,1.23,45.9
"GHCND:USC00235671","MOBERLY MO US",19411201,2.26,38.5
"GHCND:USC00235671","MOBERLY MO US",19420101,0.3,30.4
