"STATION","STATION_NAME","DATE","TPCP","MNTM"
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19480701,3.63,76.5
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19480801,3.26,74.7
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19480901,1.55,68.2
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19481001,1.92,55.9
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19481101,3.81,50.7
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19481201,6.05,36.9
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19490101,5.77,38.1
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19490201,4.33,38.1
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19490301,1.57,40.6
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19490401,3.35,52
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19490501,5.94,60.8
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19490601,0,71.8
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19490701,2.57,78.6
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19490801,5.27,75.4
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19490901,3.48,64.9
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19491001,2.31,61.2
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19491101,1.3,45.3
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19491201,2.79,38.1
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19500101,2.2,40.5
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19500201,3.68,32.2
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19500301,3.25,36.1
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19500401,1.85,47.1
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19500501,2.79,57.2
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19590201,1.87,31.8
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19590301,4.41,39.7
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19590401,2.08,51.6
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19590501,2.93,62.8
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19590601,3.61,70.2
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19590701,4.88,75.6
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19590801,3.71,76.8
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19590901,0.87,71.2
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19591001,2.89,59.5
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19591101,3.49,45.3
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19591201,4.02,38.7
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19600101,2.9,34.2
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19600201,5.48,36.3
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19600301,3.63,33.1
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19600401,2.49,52.7
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19600501,2.28,61.7
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19600601,1.33,70.9
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19600701,8.08,74.1
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19600801,4.8,74.1
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19600901,9.6,67.3
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19601001,2.28,57.4
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19601101,2.92,49.3
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19601201,3.24,31.3
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19610101,2.43,27.7
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19610201,4.17,35.1
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19610301,5.23,40.3
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19610401,6.3,47.5
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19610501,4.07,58.5
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19610601,1.86,68.5
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19610701,7.34,76.3
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19610801,3.57,75.4
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19610901,3.09,73
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19611001,2.87,59.4
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19611101,2.29,46.9
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19611201,2.88,34.2
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19620101,2.4,30.4
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19620201,4.45,30.2
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19620301,2.96,39.7
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19620401,2.43,48.9
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19620501,1.45,62.2
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19620601,4.27,71.2
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19620701,2.67,73
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19620801,4.78,71.6
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19620901,2.85,64
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19621001,2.81,55.9
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19621101,5.29,42.4
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19621201,2.41,32
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19630101,2.05,30
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19630201,3.35,28.6
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19630301,4.56,41.5
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19630401,1.12,52
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19630501,2.65,59.7
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19630601,1.91,70.9
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19630701,2.81,75.6
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19630801,2.65,72.3
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19630901,5.02,63.1
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19631001,0.09,59
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19631101,7.89,49.5
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19631201,1.8,29.8
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19640101,4.59,33.4
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19640201,2.84,31.5
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19640301,2.34,39.9
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19640401,6.59,47.1
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19640501,0.62,63.1
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19640601,2.23,70.3
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19640701,4.66,74.5
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19640801,0.87,72.1
"GHCND:USW00094789","NEW YORK J F KENNEDY INTERNATIONAL AIRPORT NY US",19640901,2.58,68.2
