"STATION","STATION_NAME","DATE","TPCP","MNTM"
"GHCND:USC00411671","CHEAPSIDE TX US",19480601,3.51,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19480701,2.1,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19480801,3.77,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19480901,1.66,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19481001,0.3,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19481101,1.76,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19481201,0.21,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19490101,2.94,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19490201,2.8,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19490301,2.59,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19490401,9.49,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19490501,0.45,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19490601,1.45,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19490701,4.57,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19490801,1.69,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19490901,0.89,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19491001,5.78,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19491101,0.78,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19491201,4.37,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19500101,1.55,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19500201,1.09,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19500301,0.41,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19500401,2.61,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19500501,2.54,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19500601,2.4,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19500701,3.3,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19500801,1.27,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19500901,3.7,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19501001,0.1,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19501101,0.05,-9999
"GHCND:USC00411671","CHEAPSIDE TX US",19501201,0.36,-9999
